City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Quintin,MX,2022-03-16 14:42:50,30.4833,-115.95,58.98,86,2,9.62
68,Kloulklubed,PW,2022-03-16 14:42:51,7.0419,134.2556,77.5,79,99,14.03
69,Cherskiy,RU,2022-03-16 14:42:51,68.75,161.3,-21.57,100,82,4.45
70,Touros,BR,2022-03-16 14:42:51,-5.1989,-35.4608,86.52,64,55,12.06
71,Castro,BR,2022-03-16 14:42:52,-24.7911,-50.0119,68.49,89,100,8.03
72,Zhangye,CN,2022-03-16 14:42:52,38.9342,100.4517,44.38,40,100,10.92
73,Dicabisagan,PH,2022-03-16 14:42:52,17.0818,122.4157,77.11,90,100,1.07
74,Bredasdorp,ZA,2022-03-16 14:38:46,-34.5322,20.0403,74.52,50,3,12.66
75,Kishtwar,IN,2022-03-16 14:42:53,33.3167,75.7667,59.72,52,0,6.38
76,Shelburne,CA,2022-03-16 14:42:53,44.0787,-80.2041,36.36,97,97,7.0
77,Bambous Virieux,MU,2022-03-16 14:42:54,-20.3428,57.7575,82.65,83,40,3.44
78,Hofn,IS,2022-03-16 14:42:54,64.2539,-15.2082,33.82,80,40,16.11
79,Fairbanks,US,2022-03-16 14:39:27,64.8378,-147.7164,10.36,63,0,6.91
80,Correntina,BR,2022-03-16 14:42:54,-13.3433,-44.6367,84.72,56,62,5.12
81,Constitucion,CL,2022-03-16 14:42:55,-35.3333,-72.4167,65.23,74,79,5.03
82,Atuona,PF,2022-03-16 14:42:55,-9.8,-139.0333,77.74,72,3,14.52
83,Port Hedland,AU,2022-03-16 14:42:55,-20.3167,118.5667,86.05,79,100,6.91
84,Kiama,AU,2022-03-16 14:42:56,-34.6833,150.8667,69.01,93,19,2.91
85,Hastings,GB,2022-03-16 14:42:56,50.8552,0.5729,54.09,81,81,11.41
86,Fortuna,US,2022-03-16 14:42:57,40.5982,-124.1573,43.93,97,100,0.0
87,Valparaiso,CL,2022-03-16 14:42:57,-33.0393,-71.6273,63.48,92,100,6.91
88,Marsa Matruh,EG,2022-03-16 14:42:57,31.3525,27.2453,59.2,47,40,8.05
89,Namibe,AO,2022-03-16 14:42:58,-15.1961,12.1522,76.37,63,22,10.71
90,Dikson,RU,2022-03-16 14:42:58,73.5069,80.5464,1.44,99,100,11.56
91,Sahuaripa,MX,2022-03-16 14:42:58,29.05,-109.2333,67.17,15,69,3.24
92,Coffs Harbour,AU,2022-03-16 14:42:59,-30.3,153.1333,67.96,88,40,9.31
93,Dowa,MW,2022-03-16 14:42:59,-13.654,33.9375,75.47,92,92,2.28
94,Hobyo,SO,2022-03-16 14:44:00,5.3505,48.5268,79.61,69,94,12.12
95,Alamosa,US,2022-03-16 14:44:00,37.4695,-105.87,26.58,59,0,3.44
96,Zhigansk,RU,2022-03-16 14:44:00,66.7697,123.3711,-17.95,100,92,7.11
97,Vila Velha,BR,2022-03-16 14:44:01,-20.3297,-40.2925,84.15,74,40,10.0
98,Karratha,AU,2022-03-16 14:44:01,-20.7377,116.8463,91.9,49,90,8.46
99,Katsuura,JP,2022-03-16 14:40:13,35.1333,140.3,57.94,76,2,6.8
100,Hudson Bay,CA,2022-03-16 14:44:01,52.85,-102.3842,28.08,98,100,1.79
101,Asau,RO,2022-03-16 14:44:02,46.4333,26.4,39.96,59,100,4.32
102,Severo-Kurilsk,RU,2022-03-16 14:44:02,50.6789,156.125,30.25,87,100,15.79
103,Jutai,BR,2022-03-16 14:44:02,-5.1833,-68.9,75.45,96,100,2.77
104,Ancud,CL,2022-03-16 14:44:03,-41.8697,-73.8203,59.23,82,100,14.38
105,Guadix,ES,2022-03-16 14:44:03,37.2993,-3.1392,50.13,82,100,6.82
106,Mandalgovi,MN,2022-03-16 14:44:03,45.7625,106.2708,20.79,37,100,12.44
107,Arraial Do Cabo,BR,2022-03-16 14:44:04,-22.9661,-42.0278,87.76,66,0,20.71
108,Gogapur,IN,2022-03-16 14:44:04,23.55,75.5167,86.22,15,42,7.67
109,Uige,AO,2022-03-16 14:44:05,-7.6087,15.0613,76.35,87,100,4.23
