City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Manjacaze,MZ,2022-03-22 20:02:51,-24.7117,33.8828,67.86,92,0,5.28,clear sky
60,Port Alfred,ZA,2022-03-22 20:02:51,-33.5906,26.891,72.46,87,2,11.7,clear sky
61,Kodiak,US,2022-03-22 20:02:52,57.79,-152.4072,33.39,60,62,22.44,broken clouds
62,Georgetown,MY,2022-03-22 19:58:00,5.4112,100.3354,84.13,86,20,3.44,thunderstorm
63,Bosaso,SO,2022-03-22 20:02:52,11.2842,49.1816,78.76,72,7,3.04,clear sky
64,Esperance,AU,2022-03-22 20:02:53,-33.8667,121.9,61.27,65,95,8.55,overcast clouds
65,Fez,MA,2022-03-22 20:00:22,34.0372,-4.9998,61.05,72,75,11.5,broken clouds
66,Souillac,MU,2022-03-22 20:02:53,-20.5167,57.5167,80.04,87,21,10.8,few clouds
67,Dhidhdhoo,MV,2022-03-22 20:02:54,6.8833,73.1,82.24,68,7,11.34,clear sky
68,Prince Rupert,CA,2022-03-22 19:59:54,54.3161,-130.3201,42.89,93,100,5.75,moderate rain
69,Brae,GB,2022-03-22 20:02:54,60.3964,-1.353,44.26,91,69,9.62,broken clouds
70,Lebu,CL,2022-03-22 20:02:54,-37.6167,-73.65,60.22,68,4,11.23,clear sky
71,Hamilton,US,2022-03-22 20:00:02,39.1834,-84.5333,64.89,74,100,1.99,overcast clouds
72,Yeniseysk,RU,2022-03-22 20:02:55,58.4497,92.1703,22.21,96,100,4.9,light snow
73,Elblag,PL,2022-03-22 20:00:02,54.1522,19.4088,49.96,58,0,6.29,clear sky
74,Garissa,KE,2022-03-22 20:02:55,-0.4536,39.6401,83.77,57,9,17.69,clear sky
75,Iqaluit,CA,2022-03-22 20:02:56,63.7506,-68.5145,-5.31,70,18,18.99,few clouds
76,Ambon,ID,2022-03-22 20:02:56,-3.6954,128.1814,75.34,94,40,4.61,light rain
77,Chuy,UY,2022-03-22 20:02:56,-33.6971,-53.4616,69.35,84,100,7.72,light rain
78,Dasoguz,TM,2022-03-22 20:02:57,41.8363,59.9666,44.08,34,100,4.07,overcast clouds
79,Arraial Do Cabo,BR,2022-03-22 20:02:57,-22.9661,-42.0278,75.83,68,65,13.8,broken clouds
80,Hobart,AU,2022-03-22 20:00:11,-42.8794,147.3294,55.26,76,40,16.11,scattered clouds
81,Qaanaaq,GL,2022-03-22 20:02:58,77.484,-69.3632,-4.0,98,100,3.24,overcast clouds
82,Yima,CN,2022-03-22 20:02:58,34.7381,111.8839,41.59,81,3,5.99,clear sky
83,Yulara,AU,2022-03-22 20:02:58,-25.2406,130.9889,75.16,33,14,11.95,few clouds
84,Bambous Virieux,MU,2022-03-22 20:02:59,-20.3428,57.7575,78.22,84,18,11.99,light rain
85,Saint-Philippe,RE,2022-03-22 20:03:59,-21.3585,55.7679,78.39,89,68,9.55,broken clouds
86,Pangody,RU,2022-03-22 20:03:59,65.85,74.4859,1.63,94,100,11.18,overcast clouds
87,Bethel,US,2022-03-22 20:04:00,41.3712,-73.414,56.89,22,0,10.36,clear sky
88,Hermanus,ZA,2022-03-22 20:04:00,-34.4187,19.2345,70.81,84,77,15.9,broken clouds
89,Ullal,IN,2022-03-22 20:04:00,12.8,74.85,81.55,78,20,0.0,few clouds
90,Bredasdorp,ZA,2022-03-22 20:04:01,-34.5322,20.0403,69.13,86,80,13.69,broken clouds
91,Cabo San Lucas,MX,2022-03-22 20:01:51,22.8909,-109.9124,80.62,31,0,12.66,clear sky
92,Saiha,IN,2022-03-22 20:04:01,22.4833,92.9667,66.11,59,89,2.8,overcast clouds
93,Guiberoua,CI,2022-03-22 20:04:02,6.2392,-6.1727,79.11,73,100,3.36,light rain
94,Tiksi,RU,2022-03-22 20:04:02,71.6872,128.8694,-14.64,97,82,4.47,broken clouds
95,Pevek,RU,2022-03-22 20:04:03,69.7008,170.3133,23.83,78,100,22.24,overcast clouds
96,Khatanga,RU,2022-03-22 20:04:03,71.9667,102.5,-10.39,96,100,3.47,overcast clouds
97,Akdepe,TM,2022-03-22 20:04:03,42.0551,59.3788,43.2,30,100,5.79,overcast clouds
98,Krasnogorodsk,RU,2022-03-22 20:04:04,56.8357,28.2822,29.03,95,0,3.67,clear sky
99,Beloha,MG,2022-03-22 20:04:04,-25.1667,45.05,71.55,78,0,13.82,clear sky
100,Albany,US,2022-03-22 20:02:26,42.6001,-73.9662,51.58,26,30,4.0,scattered clouds
101,Amuntai,ID,2022-03-22 20:04:04,-2.4177,115.2494,73.85,93,100,2.06,overcast clouds
102,Vaini,TO,2022-03-22 20:04:05,-21.2,-175.2,80.76,100,100,4.61,overcast clouds
103,Talcahuano,CL,2022-03-22 20:04:05,-36.7167,-73.1167,59.97,69,0,17.6,clear sky
104,Vardo,NO,2022-03-22 20:04:06,70.3705,31.1107,30.18,86,0,11.5,clear sky
105,Bluff,NZ,2022-03-22 20:04:06,-46.6,168.3333,57.92,89,6,6.08,clear sky
106,Were Ilu,ET,2022-03-22 20:04:06,10.6,39.4333,56.79,71,55,3.69,broken clouds
107,Mutsu,JP,2022-03-22 20:04:07,41.2894,141.2169,30.9,79,22,6.53,few clouds
108,Leibnitz,AT,2022-03-22 20:04:07,46.7816,15.5384,44.87,52,0,2.82,clear sky
109,Talnakh,RU,2022-03-22 20:04:07,69.4865,88.3972,0.05,91,100,8.16,overcast clouds
110,Sinnamary,GF,2022-03-22 20:04:08,5.3833,-52.95,78.73,87,58,10.51,moderate rain
111,Sydney Mines,CA,2022-03-22 19:59:40,46.2367,-60.2177,29.17,77,100,26.46,overcast clouds
